饰品,价格,磨损,时间
封装的涂鸦|八号球,0.2,,2023-05-04 21:03:08
封装的涂鸦|八号球,0.2,,2023-05-04 21:03:08
封装的涂鸦|八号球,4.1,0.35481467843055725,2023-04-23 12:48:12
法玛斯|殖民侵略者（久经沙场）,0.12,0.20135760307312012,2023-04-15 17:02:19
M4A1消音型|北方森林（战痕累累）,0.86,0.7162675857543945,2023-04-14 17:42:43
AK-47安全网（崭新出厂）,156.0,0.028365803882479668,2023-04-13 10:54:03
纪念品 崭新 USP消音版（纪念品）丨紫色DDPAT（,170.0,0.049615830183029175,2023-03-23 13:49:30
P250|设施系列·草图（久经沙场）,0.11,0.3067295551300049,2023-03-04 18:02:38
AK-47|×射线（久经沙场）,3980.0,0.37420862913131714,2023-02-23 19:53:29
AWP（StatTrakTM）I暴怒野兽（崭新出厂）,1409.0,0.06834317743778229,2022-12-06 01:16:00
MAG-7|金属DDPAT（崭新出厂）,1.3,0.060504067689180374,2022-12-05 12:55:23
骷髅匕首（★）|枯焦之色（久经沙场）,1490.0,0.33834701776504517,2022-12-03 16:47:12
M9刺刀（★）|自由之手（略有磨损）,2975.0,0.08676549792289734,2022-11-23 22:06:28
XM1014（StatTrakTM）|宁静（崭新出厂）,290.0,0.06930085271596909,2022-11-12 14:43:32
AK-47|翡翠细条纹（略有磨损）,10.3,0.1109289824962616,2022-08-07 10:17:35
M4A1消音型|神来之作（崭新出厂）,1195.0,0.05484124273061752,2022-08-02 09:09:51
封装的涂鸦|美钞(深绿),0.3,,2022-05-31 16:45:09
AWP（StatTrakTM）|*嘣*（略有磨损）,750.0,0.10884401202201843,2022-05-28 02:19:40
M4A1消音型（StatTrakTM）|原子合金（崭新出厂）,521.0,0.05362996459007263,2022-04-12 11:00:42
